WITTCASE NUMBER: HA002505
SAMPLE NUMBER:   23
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  LFA     	  LFA'		
  0.20   	 -10.17		 53.22   	 -30.52		
  0.16   	   0.00		 53.10   	 -30.52		
  0.16   	   0.00		 52.98   	 -30.52		
  0.16   	  -5.09		 52.86   	 -35.61		
  0.14   	   0.00		 52.72   	 -30.52		
  0.14   	  -5.09		 52.59   	 -25.43		
  0.12   	  -5.09		 52.49   	 -30.52		
  0.10   	 -10.17		 52.37   	 -30.52		
  0.06   	  -5.09		 52.25   	 -35.61		
  0.04   	  -5.09		 52.11   	 -35.61		
  0.02   	   0.00		 51.96   	 -35.61		
  0.02   	   5.09		 51.82   	 -35.61		
  0.04   	   5.09		 51.68   	 -35.61		
  0.06   	  10.17		 51.54   	 -35.61		
  0.10   	  10.17		 51.39   	 -35.61		
  0.14   	  10.17		 51.25   	 -30.52		
  0.18   	  15.26		 51.13   	 -35.61		
  0.24   	  20.35		 50.99   	 -35.61		
  0.33   	  15.26		 50.84   	 -35.61		
  0.39   	  15.26		 50.70   	 -35.61		
  0.45   	  15.26		 50.56   	 -35.61		
  0.51   	  15.26		 50.42   	 -35.61		
  0.57   	  20.35		 50.27   	 -30.52		
  0.65   	  20.35		 50.15   	 -30.52		
  0.73   	  10.17		 50.03   	 -30.52		
  0.77   	  10.17		 49.91   	 -30.52		
  0.81   	   5.09		 49.79   	 -25.43		
  0.83   	   0.00		 49.68   	 -25.43		
  0.83   	   0.00		 49.58   	 -20.35		
  0.83   	 -10.17		 49.50   	 -30.52		
  0.79   	 -15.26		 49.38   	 -30.52		
  0.73   	 -10.17		 49.26   	 -30.52		
  0.69   	  -5.09		 49.14   	 -30.52		
  0.67   	   5.09		 49.01   	 -35.61		
  0.69(E)	  15.26		 48.87   	 -35.61		
  0.75   	  20.35		 48.73   	 -45.78		
  0.83   	  30.52		 48.55   	 -40.69		
  0.96   	  25.43		 48.38   	 -35.61		
  1.06   	  25.43		 48.24   	 -35.61		
  1.16   	  20.35		 48.10   	 -35.61		
  1.24   	  30.52		 47.96   	 -30.52		
  1.36   	  35.61		 47.83   	 -25.43		
  1.51   	  45.78		 47.73   	 -20.35		
  1.69   	  55.95		 47.65   	 -30.52		
  1.91   	  55.95		 47.53   	 -30.52		
  2.14   	  55.95		 47.41   	 -25.43		
  2.36   	  55.95		 47.30   	 -30.52		
  2.58   	  55.95		 47.18   	 -30.52		
  2.81   	  55.95		 47.06   	 -40.69		
  3.03   	  61.04		 46.90   	 -30.52		
  3.28   	  61.04		 46.77   	 -35.61		
  3.52   	  71.21		 46.63   	 -30.52		
  3.80   	  91.56		 46.51   	 -25.43		
  4.17   	 106.82		 46.41   	 -20.35		
  4.60   	 116.99		 46.33   	 -25.43		
  5.07   	 137.33		 46.23   	 -25.43		
  5.62   	 188.20		 46.12   	 -25.43		
  6.37   	 284.84		 46.02   	 -30.52		
  7.51   	 325.53		 45.90   	 -25.43		
  8.81   	 325.53		 45.80   	 -30.52		
 10.11   	 412.00		 45.68   	 -25.43		
 11.76   	 528.99		 45.57   	 -25.43		
 13.88   	 518.82		 45.47   	 -25.43		
 15.95   	 412.00		 45.37   	 -20.35		
 17.60   	 361.14		 45.29   	 -25.43		
 19.04   	 381.48		 45.19   	 -30.52		
 20.57   	 437.43		 45.07   	 -25.43		
 22.32   	 478.13		 44.96   	 -25.43		
 24.23   	 442.52		 44.86   	 -20.35		
 26.00   	 366.22		 44.78   	 -20.35		
 27.47   	 315.36		 44.70   	 -25.43		
 28.73   	 284.84		 44.60   	 -25.43		
 29.87   	 269.58		 44.50   	 -25.43		
 30.95   	 233.98		 44.39   	 -20.35		
 31.88   	 193.29		 44.31   	 -15.26		
 32.66   	 147.51		 44.25   	 -20.35		
 33.25   	 106.82		 44.17   	 -25.43		
 33.67   	  91.56		 44.07   	 -30.52		
 34.04   	  91.56		 43.95   	 -30.52		
 34.40   	  81.38		 43.82   	 -30.52		
 34.73   	  71.21		 43.70   	 -35.61		
 35.02   	  96.64		 43.56   	 -35.61		
 35.40   	 127.16		 43.42   	 -30.52		
 35.91   	 101.73		 43.30   	 -20.35		
 36.32   	  81.38		 43.21   	 -25.43		
 36.64   	  81.38		 43.11   	 -20.35		
 36.97   	 106.82		 43.03   	 -15.26		
 37.40   	 132.25		 42.97   	 -10.17		
 37.92   	 147.51		 42.93   	 -10.17		
 38.51   	 162.77		 42.89   	 -10.17		
 39.17   	 162.77		 42.85   	 -10.17		
 39.82   	 147.51		 42.81   	  -5.09		
 40.41   	 142.42		 42.79   	   5.09		
 40.98   	 167.85		 42.81   	  20.35		
 41.65   	 188.20		 42.89   	  35.61		
 42.40   	 167.85		 43.03   	  76.30		
 43.07   	 162.77		 43.34   	 122.07		
 43.72   	 167.85		 43.82   	 188.20		
 44.39   	 178.03		 44.58   	 259.41		
 45.11   	 178.03		 45.62   	 325.53		
 45.82   	 183.11		 46.92   	 376.40		
 46.55   	 167.85		 48.42   	 417.09		
 47.22   	 172.94		 50.09   	 427.26		
 47.91   	 167.85		 51.80   	 417.09		
 48.59   	 178.03		 53.47   	 386.57		
 49.30   	 183.11		 55.02   	 340.79		
 50.03   	 172.94		 56.38   	 295.01		
 50.72   	 157.68		 57.56   	 239.06		
 51.35   	 142.42		 58.51   	 198.37		
 51.92   	 142.42		 59.31   	 157.68		
 52.49   	 147.51		 59.94   	 142.42		
 53.08   	 127.16		 60.51   	 137.33		
 53.59   	 111.90		 61.06   	 147.51		
 54.04   	 111.90		 61.65   	 167.85		
 54.49   	 101.73		 62.32   	 198.37		
 54.89   	 116.99		 63.11   	 239.06		
 55.36   	 106.82		 64.07   	 264.50		
 55.79   	  76.30		 65.13   	 289.93		
 56.09   	 101.73		 66.29   	 325.53		
 56.50   	 116.99		 67.59   	 330.62		
 56.97   	  86.47		 68.91   	 335.71		
 57.31   	  86.47		 70.25   	 335.71		
 57.66   	  96.64		 71.60   	 325.53		
 58.05   	  76.30		 72.90   	 289.93		
 58.35   	  76.30		 74.06   	 274.67		
 58.66   	  81.38		 75.16   	 249.24		
 58.98   	  76.30		 76.15   	 213.63		
 59.29   	  66.12		 77.01   	 178.03		
 59.55   	  55.95		 77.72   	 162.77		
 59.78   	  61.04		 78.37   	 142.42		
 60.02   	  55.95		 78.94   	 111.90		
 60.24   	  50.86		 79.39   	 106.82		
 60.45   	  50.86		 79.82   	 106.82		
 60.65   	  40.69		 80.24   	  86.47		
 60.81   	  35.61		 80.59   	  55.95		
 60.96   	  35.61		 80.81   	  40.69		
 61.10   	  25.43		 80.98   	  30.52		
 61.20   	  10.17		 81.10   	  15.26		
 61.24(S)	   0.00		 81.16(S)	 -10.17		
 61.24   	  -5.09		 81.12   	 -15.26		
 61.22   	  -5.09		 81.06   	 -15.26		
 61.20   	 -25.43		 81.00   	 -15.26		
 61.10   	 -40.69		 80.94   	 -20.35		
 60.94   	 -40.69		 80.85   	 -35.61		
 60.77   	 -66.12		 80.71   	 -40.69		
 60.51   	 -86.47		 80.55   	 -61.04		
 60.16   	-106.82		 80.30   	 -71.21		
 59.74   	-132.25		 80.02   	 -81.38		
 59.21   	-137.33		 79.69   	 -86.47		
 58.66   	-152.59		 79.35   	 -96.64		
 58.05   	-188.20		 78.96   	-106.82		
 57.29   	-264.50		 78.53   	-111.90		
 56.24   	-371.31		 78.09   	-111.90		
 54.75   	-549.34		 77.64   	-116.99		
 52.55   	-722.28		 77.17   	-111.90		
 49.66   	-803.66		 76.72   	-116.99		
 46.45   	-813.83		 76.26   	-122.07		
 43.19   	-808.75		 75.77   	-122.07		
 39.96   	-778.23		 75.28   	-116.99		
 36.85   	-681.58		 74.81   	-116.99		
 34.12   	-559.51		 74.34   	-127.16		
 31.88   	-503.56		 73.83   	-137.33		
 29.87   	-483.21		 73.29   	-137.33		
 27.93   	-432.35		 72.74   	-147.51		
 26.21   	-376.40		 72.15   	-157.68		
 24.70   	-345.88		 71.52   	-157.68		
 23.32   	-345.88		 70.88   	-157.68		
 21.93   	-345.88		 70.25   	-157.68		
 20.55   	-335.71		 69.62   	-167.85		
 19.21   	-345.88		 68.95   	-162.77		
 17.82   	-345.88		 68.30   	-157.68		
 16.44   	-371.31		 67.67   	-152.59		
 14.95   	-391.66		 67.06   	-152.59		
 13.39   	-391.66		 66.45   	-142.42		
 11.82   	-381.48		 65.88   	-137.33		
 10.29   	-356.05		 65.33   	-122.07		
  8.87   	-345.88		 64.84   	-106.82		
  7.49   	-325.53		 64.41   	-101.73		
  6.19   	-310.27		 64.01   	 -86.47		
  4.94   	-279.75		 63.66   	 -81.38		
  3.83   	-254.32		 63.34   	 -76.30		
  2.81   	-218.72		 63.03   	 -76.30		
  1.93   	-188.20		 62.73   	 -76.30		
  1.18   	-162.77		 62.42   	 -86.47		
  0.53   	-132.25		 62.08   	 -96.64		
  0.00   	-116.99		 61.69   	 -91.56		
 -0.47   	 -91.56		 61.32   	 -96.64		
 -0.83   	 -71.21		 60.94   	-106.82		
 -1.12   	 -55.95		 60.51   	-106.82		
 -1.34   	 -45.78		 60.08   	 -96.64		
 -1.53   	 -35.61		 59.69   	 -96.64		
 -1.67   	 -20.35		 59.31   	 -91.56		
 -1.75   	  -5.09		 58.94   	 -91.56		
 -1.77(D)	  10.17		 58.58   	 -76.30		
 -1.73   	  20.35		 58.27   	 -76.30		
 -1.65   	  25.43		 57.97   	 -71.21		
 -1.55   	  20.35		 57.68   	 -76.30		
 -1.46   	  25.43		 57.38   	 -61.04		
 -1.36   	  30.52		 57.13   	 -66.12		
 -1.24   	  25.43		 56.87   	 -61.04		
 -1.14   	  15.26		 56.62   	 -61.04		
 -1.08   	   0.00		 56.38   	 -50.86		
 -1.08   	   0.00		 56.17   	 -50.86		
 -1.08   	 -10.17		 55.97   	 -45.78		
 -1.12   	 -10.17		 55.79   	 -45.78		
 -1.16   	 -10.17		 55.61   	 -40.69		
 -1.20   	   0.00		 55.44   	 -35.61		
 -1.20   	   5.09		 55.30   	 -40.69		
 -1.18   	  15.26		 55.14   	 -35.61		
 -1.12   	   5.09		 54.99   	 -35.61		
 -1.10   	  15.26		 54.85   	 -40.69		
 -1.04   	  20.35		 54.69   	 -45.78		
 -0.96   	  35.61		 54.51   	 -45.78		
 -0.81   	  25.43		 54.32   	 -45.78		
 -0.71   	  20.35		 54.14   	 -45.78		
 -0.63   	  15.26		 53.96   	 -40.69		
 -0.57   	  20.35		 53.79   	 -40.69		
 -0.49   	  15.26		 53.63   	 -35.61		
 -0.43   	  15.26		 53.49   	 -35.61		
 -0.37   	  15.26		 53.35   	 -25.43		
 -0.31   	   5.09		 53.24   	 -30.52		
 -0.28   	   5.09		 53.12   	 -20.35		
 -0.26   	   5.09		 53.04   	 -20.35		
 -0.24   	   5.09		 52.96   	 -20.35		
 -0.22   	  10.17		 52.88   	 -25.43		
 -0.18   	   0.00		 52.78   	 -15.26		
 -0.18   	   5.09		 52.72   	 -20.35		
 -0.16   	  10.17		 52.63   	 -20.35		
 -0.12   	  10.17		 52.55   	 -20.35		
 -0.08   	  20.35		 52.47   	 -20.35		
  0.00   	  20.35		 52.39   	 -20.35		
  0.08   	  30.52		 52.31   	 -25.43		
  0.20   	  20.35		 52.21   	 -20.35		
  0.28   	  30.52		 52.13   	 -25.43		
  0.41   	  30.52		 52.02   	 -25.43		
  0.53   	  30.52		 51.92   	 -20.35		
  0.65   	  30.52		 51.84   	 -30.52		
  0.77   	  35.61		 51.72   	 -20.35		
  0.92   	  35.61		 51.64   	 -20.35		
  1.06   	  35.61		 51.56   	 -20.35		
  1.20   	  25.43		 51.47   	 -25.43		
  1.30   	  30.52		 51.37   	 -20.35		
  1.42   	  25.43		 51.29   	 -15.26		
  1.53   	  25.43		 51.23   	 -20.35		
  1.63   	  30.52		 51.15   	 -20.35		
  1.75   	  20.35		 51.07   	 -20.35		
  1.83   	  20.35		 50.99   	 -20.35		
  1.91   	  20.35		 50.91   	 -20.35		
  1.99   	  25.43		 50.82   	 -15.26		
  2.10   	  25.43		 50.76   	 -20.35		
  2.20   	  20.35		 50.68   	 -20.35		
  2.28   	  25.43		 50.60   	 -20.35		
  2.38   	  25.43		 50.52   	 -20.35		
  2.48   	  25.43		 50.44   	 -20.35		
  2.58   	  25.43		 50.36   	 -20.35		
  2.69   	  15.26		 50.27   	 -25.43		
  2.75   	  10.17		 50.17   	 -20.35		
  2.79   	  15.26		 50.09   	 -20.35		
  2.85   	  25.43		 50.01   	 -25.43		
  2.95   	  25.43		 49.91   	 -20.35		
  3.05   	  25.43		 49.83   	 -20.35		
  3.15   	  35.61		 49.75   	 -25.43		
  3.30(E)	  30.52		 49.64   	 -15.26		
  3.42   	  25.43		 49.58   	 -20.35		
  3.52   	  25.43		 49.50   	 -20.35		
  3.62   	  25.43		 49.42   	 -20.35		
  3.72   	  30.52		 49.34   	 -20.35		
  3.85   	  40.69		 49.26   	 -30.52		
  4.01   	  40.69		 49.14   	 -30.52		
  4.17   	  50.86		 49.01   	 -30.52		
  4.37   	  55.95		 48.89   	 -30.52		
  4.60   	  61.04		 48.77   	 -25.43		
  4.84   	  61.04		 48.67   	 -25.43		
  5.09   	  66.12		 48.57   	 -15.26		
  5.35   	  61.04		 48.50   	 -20.35		
  5.60   	  61.04		 48.42   	 -20.35		
  5.84   	  66.12		 48.34   	 -15.26		
  6.10   	  76.30		 48.28   	 -15.26		
  6.41   	  86.47		 48.22   	 -15.26		
  6.75   	  96.64		 48.16   	 -20.35		
  7.14   	 106.82		 48.08   	 -25.43		
  7.57   	 111.90		 47.98   	 -20.35		
  8.02   	 142.42		 47.89   	 -20.35		
  8.59   	 228.89		 47.81   	 -25.43		
  9.50   	 320.45		 47.71   	 -20.35		
 10.78   	 442.52		 47.63   	 -20.35		
 12.55   	 559.51		 47.55   	 -25.43		
 14.79   	 615.46		 47.45   	 -20.35		
 17.25   	 615.46		 47.37   	 -20.35		
 19.72   	 528.99		 47.28   	 -20.35		
 21.83   	 442.52		 47.20   	 -25.43		
 23.60   	 401.83		 47.10   	 -25.43		
 25.21   	 417.09		 47.00   	 -20.35		
 26.88   	 432.35		 46.92   	 -20.35		
 28.61   	 427.26		 46.84   	 -20.35		
 30.32   	 376.40		 46.75   	 -20.35		
 31.82   	 335.71		 46.67   	 -20.35		
 33.16   	 315.36		 46.59   	 -15.26		
 34.43   	 310.27		 46.53   	 -15.26		
 35.67   	 279.75		 46.47   	 -20.35		
 36.79   	 228.89		 46.39   	 -20.35		
 37.70   	 172.94		 46.31   	 -25.43		
 38.39   	 147.51		 46.21   	 -25.43		
 38.98   	 132.25		 46.10   	 -30.52		
 39.51   	 116.99		 45.98   	 -30.52		
 39.98   	 116.99		 45.86   	 -35.61		
 40.45   	 127.16		 45.72   	 -30.52		
 40.96   	 147.51		 45.59   	 -30.52		
 41.55   	 127.16		 45.47   	 -25.43		
 42.05   	 101.73		 45.37   	 -25.43		
 42.46   	  91.56		 45.27   	 -25.43		
 42.83   	 127.16		 45.17   	 -20.35		
 43.34   	 152.59		 45.09   	 -15.26		
 43.95   	 162.77		 45.03   	 -10.17		
 44.60   	 172.94		 44.98(D)	   0.00		
 45.29   	 178.03		 44.98   	   5.09		
 46.00   	 162.77		 45.00   	  10.17		
 46.65   	 152.59		 45.05   	  15.26		
 47.26   	 147.51		 45.11   	  45.78		
 47.85   	 142.42		 45.29   	  66.12		
 48.42   	 137.33		 45.55   	 111.90		
 48.97   	 137.33		 46.00   	 172.94		
 49.52   	 147.51		 46.69   	 254.32		
 50.11   	 162.77		 47.71   	 335.71		
 50.76   	 172.94		 49.05   	 396.74		
 51.45   	 172.94		 50.64   	 447.61		
 52.15   	 172.94		 52.43   	 473.04		
 52.84   	 172.94		 54.32   	 462.87		
 53.53   	 183.11		 56.17   	 432.35		
 54.26   	 188.20		 57.90   	 391.66		
 55.02   	 183.11		 59.47   	 330.62		
 55.75   	 183.11		 60.79   	 264.50		
 56.48   	 183.11		 61.85   	 208.54		
 57.21   	 172.94		 62.69   	 167.85		
 57.90   	 172.94		 63.36   	 142.42		
 58.60   	 162.77		 63.93   	 132.25		
 59.25   	 157.68		 64.46   	 152.59		
 59.88   	 142.42		 65.07   	 178.03		
 60.45   	 127.16		 65.78   	 223.80		
 60.96   	 122.07		 66.67   	 269.58		
 61.44   	 116.99		 67.75   	 315.36		
 61.91   	 101.73		 69.01   	 356.05		
 62.32   	  96.64		 70.44   	 376.40		
 62.71   	  96.64		 71.94   	 386.57		
 63.09   	  96.64		 73.49   	 391.66		
 63.48   	  96.64		 75.06   	 371.31		
 63.87   	  91.56		 76.54   	 350.97		
 64.23   	  91.56		 77.94   	 310.27		
 64.60   	  91.56		 79.19   	 269.58		
 64.96   	  86.47		 80.26   	 233.98		
 65.31   	  86.47		 81.20   	 203.46		
 65.66   	  81.38		 82.01   	 167.85		
 65.98   	  86.47		 82.69   	 152.59		
 66.33   	  76.30		 83.30   	 137.33		
 66.63   	  71.21		 83.85   	 116.99		
 66.92   	  61.04		 84.31   	 101.73		
 67.16   	  61.04		 84.72   	  91.56		
 67.41   	  55.95		 85.09   	  81.38		
 67.63   	  40.69		 85.41   	  76.30		
 67.79   	  40.69		 85.72   	  61.04		
 67.95   	  25.43		 85.96   	  50.86		
 68.06   	  20.35		 86.16   	  30.52		
 68.14   	  15.26		 86.29   	  10.17		
 68.20   	   5.09		 86.33(S)	 -10.17		
 68.22   	   5.09		 86.29   	 -25.43		
 68.24(S)	  -5.09		 86.18   	 -40.69		
 68.22   	 -10.17		 86.02   	 -55.95		
 68.18   	 -20.35		 85.80   	 -76.30		
 68.10   	 -30.52		 85.49   	 -81.38		
 67.98   	 -40.69		 85.17   	 -91.56		
 67.81   	 -55.95		 84.80   	-106.82		
 67.59   	 -71.21		 84.37   	-106.82		
 67.30   	-101.73		 83.95   	-116.99		
 66.90   	-127.16		 83.48   	-111.90		
 66.39   	-157.68		 83.03   	-111.90		
 65.76   	-162.77		 82.58   	-116.99		
 65.11   	-178.03		 82.12   	-116.99		
 64.39   	-218.72		 81.65   	-116.99		
 63.52   	-295.01		 81.18   	-122.07		
 62.34   	-412.00		 80.69   	-116.99		
 60.69   	-579.86		 80.22   	-127.16		
 58.37   	-762.97		 79.71   	-122.07		
 55.32   	-879.96		 79.23   	-122.07		
 51.80   	-890.13		 78.74   	-122.07		
 48.24   	-829.09		 78.25   	-127.16		
 44.92   	-727.36		 77.74   	-116.99		
 42.01   	-630.72		 77.27   	-116.99		
 39.49   	-579.86		 76.81   	-111.90		
 37.17   	-554.42		 76.36   	-122.07		
 34.95   	-493.39		 75.87   	-132.25		
 32.98   	-422.18		 75.34   	-142.42		
 31.29   	-386.57		 74.77   	-147.51		
 29.75   	-366.22		 74.18   	-152.59		
 28.28   	-350.97		 73.57   	-157.68		
 26.88   	-356.05		 72.94   	-162.77		
 25.45   	-366.22		 72.29   	-167.85		
 23.99   	-366.22		 71.62   	-172.94		
 22.52   	-366.22		 70.93   	-172.94		
 21.06   	-376.40		 70.23   	-167.85		
 19.55   	-381.48		 69.56   	-167.85		
 18.03   	-376.40		 68.89   	-157.68		
 16.52   	-371.31		 68.26   	-147.51		
 15.04   	-361.14		 67.67   	-132.25		
 13.59   	-345.88		 67.14   	-122.07		
 12.21   	-325.53		 66.65   	-106.82		
 10.91   	-300.10		 66.23   	 -91.56		
  9.70   	-269.58		 65.86   	 -76.30		
  8.63   	-249.24		 65.55   	 -71.21		
  7.63   	-218.72		 65.27   	 -76.30		
  6.75   	-193.29		 64.96   	 -76.30		
  5.98   	-157.68		 64.66   	 -81.38		
  5.35   	-132.25		 64.33   	 -86.47		
  4.82   	-116.99		 63.99   	 -91.56		
  4.35   	 -96.64		 63.62   	-101.73		
  3.97   	 -76.30		 63.21   	-106.82		
  3.66   	 -61.04		 62.79   	-106.82		
  3.42   	 -50.86		 62.36   	-101.73		
  3.21   	 -35.61		 61.95   	-101.73		
  3.07   	 -30.52		 61.55   	 -96.64		
  2.95   	 -30.52		 61.16   	 -96.64		
  2.83   	 -15.26		 60.77   	 -86.47		
  2.77   	 -15.26		 60.43   	 -76.30		
  2.71   	 -10.17		 60.12   	 -71.21		
  2.67   	 -15.26		 59.84   	 -61.04		
  2.60   	  -5.09		 59.59   	 -61.04		
  2.58   	  -5.09		 59.35   	 -55.95		
  2.56   	  -5.09		 59.12   	 -50.86		
  2.54(D)	   0.00		 58.92   	 -45.78		
  2.54   	   5.09		 58.74   	 -50.86		
  2.56   	  10.17		 58.53   	 -50.86		
  2.60   	   5.09		 58.33   	 -50.86		
  2.62   	  10.17		 58.13   	 -55.95		
  2.67   	  15.26		 57.90   	 -55.95		
  2.73   	  25.43		 57.68   	 -50.86		
  2.83   	  35.61		 57.48   	 -50.86		
  2.97   	  25.43		 57.27   	 -45.78		
  3.07   	  10.17		 57.09   	 -40.69		
  3.11   	 -10.17		 56.93   	 -40.69		
  3.07   	 -15.26		 56.76   	 -35.61		
  3.01   	 -15.26		 56.62   	 -30.52		
  2.95   	 -20.35		 56.50   	 -35.61		
  2.87   	 -15.26		 56.36   	 -35.61		
  2.81   	 -15.26		 56.22   	 -30.52		
  2.75   	 -15.26		 56.09   	 -35.61		
  2.69   	 -10.17		 55.95   	 -35.61		
  2.64   	  -5.09		 55.81   	 -35.61		
  2.62   	   5.09		 55.67   	 -40.69		
  2.64   	  15.26		 55.50   	 -35.61		
  2.71   	  15.26		 55.36   	 -40.69		
  2.77   	 -10.17		 55.20   	 -45.78		
  2.73   	 -10.17		 55.02   	 -40.69		
  2.69   	  20.35		 54.85   	 -25.43		
  2.77   	  15.26		 54.75   	 -25.43		
  2.83   	   5.09		 54.65   	 -35.61		
  2.85   	 -10.17		 54.51   	 -35.61		
  2.81   	  -5.09		 54.36   	 -30.52		
  2.79   	   0.00		 54.24   	 -30.52		
  2.79   	   0.00		 54.12   	 -25.43		
  2.79   	   0.00		 54.02   	 -30.52		
  2.79   	   0.00		 53.90   	 -25.43		
  2.79   	   5.09		 53.79   	 -25.43		
  2.81   	  10.17		 53.69   	 -20.35		
  2.85   	  10.17		 53.61   	 -25.43		
  2.89   	   5.09		 53.51   	 -25.43		
  2.91   	   5.09		 53.41   	 -35.61		
  2.93   	   5.09		 53.27   	 -30.52		
  2.95   	  10.17		 53.14   	 -30.52		
  2.99   	  10.17		 53.02   	 -30.52		
  3.03   	  20.35		 52.90   	 -30.52		
  3.11   	  10.17		 52.78   	 -30.52		
  3.15   	  10.17		 52.65   	 -30.52		
  3.19   	   0.00		 52.53   	 -30.52		
  3.19   	   5.09		 52.41   	 -25.43		
  3.21   	   5.09		 52.31   	 -30.52		
  3.23   	   5.09		 52.19   	 -30.52		
  3.26   	  15.26		 52.06   	 -30.52		
  3.32   	  25.43		 51.94   	 -35.61		
  3.42   	  30.52		 51.80   	 -30.52		
  3.54   	  25.43		 51.68   	 -25.43		
  3.64   	  20.35		 51.58   	 -30.52		
  3.72   	  15.26		 51.45   	 -25.43		
  3.78   	  10.17		 51.35   	 -35.61		
  3.83   	   5.09		 51.21   	 -30.52		
  3.85   	   5.09		 51.09   	 -30.52		
  3.87   	  10.17		 50.97   	 -35.61		
  3.91   	  10.17		 50.82   	 -30.52		
  3.95   	  10.17		 50.70   	 -30.52		
  3.99   	   5.09		 50.58   	 -30.52		
  4.01   	   0.00		 50.46   	 -30.52		
  4.01   	  10.17		 50.34   	 -25.43		
  4.05   	  20.35		 50.23   	 -25.43		
  4.13   	  20.35		 50.13   	 -25.43		
  4.21   	  25.43		 50.03   	 -25.43		
  4.31   	  35.61		 49.93   	 -30.52		
  4.46   	  25.43		 49.81   	 -30.52		
  4.56   	  20.35		 49.68   	 -30.52		
  4.64   	  10.17		 49.56   	 -35.61		
  4.68   	   5.09		 49.42   	 -35.61		
  4.70   	   0.00		 49.28   	 -35.61		
  4.70   	   5.09		 49.14   	 -35.61		
  4.72   	   0.00		 48.99   	 -35.61		
  4.72   	   0.00		 48.85   	 -30.52		
  4.72(E)	   0.00		 48.73   	 -30.52		
  4.72   	  10.17		 48.61   	 -30.52		
  4.76   	  20.35		 48.48   	 -25.43		
  4.84   	  25.43		 48.38   	 -30.52		
  4.94   	  40.69		 48.26   	 -25.43		
  5.11   	  50.86		 48.16   	 -25.43		
  5.31   	  55.95		 48.06   	 -25.43		
  5.53   	  76.30		 47.96   	 -30.52		
  5.84   	  96.64		 47.83   	 -35.61		
  6.23   	 122.07		 47.69   	 -30.52		
  6.71   	 167.85		 47.57   	 -30.52		
  7.39   	 218.72		 47.45   	 -30.52		
  8.26   	 269.58		 47.32   	 -30.52		
  9.34   	 300.10		 47.20   	 -25.43		
 10.54   	 305.19		 47.10   	 -25.43		
 11.76   	 310.27		 47.00   	 -20.35		
 13.00   	 381.48		 46.92   	 -20.35		
 14.53   	 437.43		 46.84   	   0.00		
