WITTCASE NUMBER: HB001757
SAMPLE NUMBER:   45
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 13.43   	-279.75		106.69   	-208.54		
 12.31   	-239.06		105.86   	-198.37		
 11.35   	-203.46		105.07   	-198.37		
 10.54   	-208.54		104.27   	-203.46		
  9.70   	-208.54		103.46   	-198.37		
  8.87   	-183.11		102.66   	-183.11		
  8.14   	-127.16		101.93   	-162.77		
  7.63   	 -61.04		101.28   	-152.59		
  7.39   	 -25.43		100.67   	-152.59		
  7.28   	 -20.35		100.06   	-167.85		
  7.20   	 -15.26		 99.39   	-167.85		
  7.14(D)	  20.35		 98.72   	-152.59		
  7.22   	  66.12		 98.11   	-142.42		
  7.49   	  81.38		 97.54   	-127.16		
  7.81   	  45.78		 97.03   	-122.07		
  8.00   	  30.52		 96.54   	-116.99		
  8.12   	  61.04		 96.07   	-111.90		
  8.36   	  91.56		 95.63   	 -96.64		
  8.73   	 101.73		 95.24   	 -96.64		
  9.14   	 101.73		 94.85   	-116.99		
  9.54   	 106.82		 94.38   	-142.42		
  9.97   	 122.07		 93.81   	-132.25		
 10.46   	 142.42		 93.29   	-101.73		
 11.03   	 157.68		 92.88   	 -86.47		
 11.66   	 152.59		 92.53   	 -76.30		
 12.27   	 132.25		 92.23   	 -81.38		
 12.80   	 111.90		 91.90   	 -96.64		
 13.25   	 106.82		 91.52   	-101.73		
 13.67   	 106.82		 91.11   	 -91.56		
 14.10   	 106.82		 90.74   	 -86.47		
 14.53   	  91.56		 90.40   	 -91.56		
 14.89   	  81.38		 90.03   	 -91.56		
 15.22   	  71.21		 89.66   	 -91.56		
 15.50   	  81.38		 89.30   	 -86.47		
 15.83   	  86.47		 88.95   	 -86.47		
 16.17   	 106.82		 88.61   	 -86.47		
 16.60   	 116.99		 88.26   	 -86.47		
 17.07   	 116.99		 87.91   	 -81.38		
 17.54   	 111.90		 87.59   	 -81.38		
 17.99   	  96.64		 87.26   	 -71.21		
 18.37   	  76.30		 86.98   	 -76.30		
 18.68   	  40.69		 86.67   	 -81.38		
 18.84   	  -5.09		 86.35   	 -81.38		
 18.82   	 -61.04		 86.02   	 -86.47		
 18.58   	-116.99		 85.68   	 -86.47		
 18.11   	-147.51		 85.33   	 -81.38		
 17.52   	-183.11		 85.00   	 -86.47		
 16.79   	-203.46		 84.66   	 -86.47		
 15.97   	-213.63		 84.31   	 -81.38		
 15.12   	-213.63		 83.99   	 -76.30		
 14.26   	-208.54		 83.68   	 -76.30		
 13.43(E)	-178.03		 83.38   	 -71.21		
 12.72   	-152.59		 83.09   	 -71.21		
 12.11   	-122.07		 82.81   	 -66.12		
 11.62   	 -86.47		 82.54   	 -71.21		
 11.27   	 -55.95		 82.26   	 -76.30		
 11.05   	 -35.61		 81.95   	 -76.30		
 10.91   	 -30.52		 81.65   	 -86.47		
 10.78   	 -20.35		 81.30   	 -81.38		
 10.70   	  -5.09		 80.98   	 -76.30		
 10.68   	  25.43		 80.67   	 -71.21		
 10.78   	  50.86		 80.39   	 -71.21		
 10.99   	  71.21		 80.10   	 -71.21		
 11.27   	  76.30		 79.82   	 -81.38		
 11.58   	  61.04		 79.49   	 -76.30		
 11.82   	  96.64		 79.19   	 -71.21		
 12.21   	 116.99		 78.90   	 -66.12		
 12.68   	 127.16		 78.64   	 -61.04		
 13.18   	 157.68		 78.39   	 -55.95		
 13.81   	 198.37		 78.17   	 -61.04		
 14.61   	 249.24		 77.92   	 -61.04		
 15.61   	 371.31		 77.68   	 -76.30		
 17.09   	 457.78		 77.38   	 -66.12		
 18.92   	 473.04		 77.11   	 -66.12		
 20.81   	 605.29		 76.85   	 -61.04		
 23.23   	 773.14		 76.60   	 -61.04		
 26.33   	 803.66		 76.36   	 -61.04		
 29.54   	 788.40		 76.11   	 -66.12		
 32.70   	 839.26		 75.85   	 -66.12		
 36.05   	 895.22		 75.58   	 -66.12		
 39.63   	 869.78		 75.32   	 -61.04		
 43.11   	 818.92		 75.08   	 -50.86		
 46.39   	 762.97		 74.87   	 -35.61		
 49.44   	 691.76		 74.73   	 -25.43		
 52.21   	 610.37		 74.63   	 -15.26		
 54.65   	 534.08		 74.57(D)	  15.26		
 56.79   	 457.78		 74.63   	  96.64		
 58.62   	 350.97		 75.01   	 315.36		
 60.02   	 233.98		 76.28   	 691.76		
 60.96   	 142.42		 79.04   	1108.85		
 61.53   	  45.78		 83.48   	1368.26		
 61.71   	 -35.61		 88.95   	1378.43		
 61.57   	 -86.47		 94.47   	1124.11		
 61.22   	 -91.56		 98.96   	 727.36		
 60.85   	 -91.56		101.87   	 412.00		
 60.49   	 -96.64		103.52   	 284.84		
 60.10   	 -86.47		104.66   	 345.88		
 59.76   	 -50.86		106.04   	 528.99		
 59.55   	 -25.43		108.16   	 732.45		
 59.45   	  15.26		111.09   	 869.78		
 59.51   	  66.12		114.57   	 895.22		
 59.78   	  86.47		118.15   	 844.35		
 60.12   	 101.73		121.53   	 752.79		
 60.53   	 122.07		124.54   	 666.32		
 61.02   	 142.42		127.20   	 615.46		
 61.59   	 157.68		129.66   	 595.11		
 62.22   	 157.68		132.04   	 590.03		
 62.85   	 157.68		134.40   	 584.94		
 63.48   	 172.94		136.74   	 549.34		
 64.17   	 188.20		138.94   	 488.30		
 64.92   	 203.46		140.89   	 396.74		
 65.74   	 188.20		142.48   	 284.84		
 66.49   	 178.03		143.62   	 172.94		
 67.20   	 162.77		144.31   	  71.21		
 67.85   	 132.25		144.60(S)	   0.00		
 68.38   	 122.07		144.60   	 -55.95		
 68.87   	 116.99		144.37   	-111.90		
 69.34   	 101.73		143.93   	-157.68		
 69.75   	  76.30		143.30   	-157.68		
 70.05   	  30.52		142.66   	-188.20		
 70.17(S)	 -15.26		141.91   	-249.24		
 70.11   	 -76.30		140.92   	-305.19		
 69.81   	-147.51		139.69   	-315.36		
 69.22   	-213.63		138.43   	-289.93		
 68.36   	-295.01		137.27   	-259.41		
