WITTCASE NUMBER: HB001304
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  MPA     	  MPA'		
 48.81   	 -30.52		 25.78   	 193.29		
 48.69   	 -25.43		 26.55   	 203.46		
 48.59   	 -35.61		 27.37   	 208.54		
 48.44   	 -30.52		 28.20   	 208.54		
 48.32   	 -25.43		 29.03   	 203.46		
 48.22   	 -25.43		 29.85   	 198.37		
 48.12   	 -30.52		 30.64   	 198.37		
 48.00   	 -35.61		 31.43   	 203.46		
 47.85   	 -35.61		 32.25   	 213.63		
 47.71   	 -25.43		 33.10   	 228.89		
 47.61   	 -25.43		 34.02   	 233.98		
 47.51   	 -15.26		 34.95   	 198.37		
 47.45(D)	   0.00		 35.75   	 188.20		
 47.45   	  15.26		 36.50   	 193.29		
 47.51   	  45.78		 37.27   	 147.51		
 47.69   	  86.47		 37.86   	  76.30		
 48.04   	 152.59		 38.17   	  55.95		
 48.65   	 218.72		 38.39   	  71.21		
 49.52   	 279.75		 38.68   	  81.38		
 50.64   	 330.62		 39.00   	  96.64		
 51.96   	 350.97		 39.39   	 122.07		
 53.37   	 361.14		 39.88   	 147.51		
 54.81   	 366.22		 40.47   	 162.77		
 56.28   	 356.05		 41.12   	 172.94		
 57.70   	 340.79		 41.81   	 178.03		
 59.06   	 310.27		 42.52   	 167.85		
 60.30   	 279.75		 43.19   	 157.68		
 61.42   	 244.15		 43.82   	 147.51		
 62.40   	 213.63		 44.41   	 132.25		
 63.26   	 198.37		 44.94   	 116.99		
 64.05   	 198.37		 45.41   	  96.64		
 64.84   	 193.29		 45.80   	  91.56		
 65.62   	 193.29		 46.16   	  81.38		
 66.39   	 188.20		 46.49   	  66.12		
 67.14   	 198.37		 46.75   	  66.12		
 67.93   	 203.46		 47.02   	  61.04		
 68.75   	 203.46		 47.26   	  66.12		
 69.56   	 203.46		 47.53   	  61.04		
 70.38   	 198.37		 47.77   	  55.95		
 71.17   	 193.29		 48.00   	  55.95		
 71.94   	 183.11		 48.22   	  55.95		
 72.68   	 167.85		 48.44   	  55.95		
 73.35   	 157.68		 48.67   	  50.86		
