WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 42.14   	 -86.47		 81.32   	 -30.52		
 41.79   	 -91.56		 81.20   	 -35.61		
 41.42   	 -86.47		 81.06   	 -30.52		
 41.08   	 -91.56		 80.94   	 -35.61		
 40.71   	 -76.30		 80.79   	 -40.69		
 40.41   	 -76.30		 80.63   	 -35.61		
 40.10   	 -61.04		 80.49   	 -30.52		
 39.86   	 -50.86		 80.37   	 -30.52		
 39.65   	 -45.78		 80.24   	 -35.61		
 39.47   	 -40.69		 80.10   	 -25.43		
 39.31   	 -35.61		 80.00   	 -30.52		
 39.17   	 -30.52		 79.88   	 -30.52		
 39.04   	 -30.52		 79.76   	 -40.69		
 38.92   	 -30.52		 79.59   	 -35.61		
 38.80   	 -25.43		 79.45   	 -45.78		
 38.70   	 -30.52		 79.27   	 -50.86		
 38.58   	 -25.43		 79.06   	 -50.86		
 38.47   	 -30.52		 78.86   	 -45.78		
 38.35   	 -25.43		 78.68   	 -50.86		
 38.25   	 -30.52		 78.47   	 -50.86		
 38.13   	 -30.52		 78.27   	 -50.86		
 38.01   	 -35.61		 78.07   	 -45.78		
 37.86   	 -35.61		 77.88   	 -40.69		
 37.72   	 -40.69		 77.72   	 -50.86		
 37.56   	 -35.61		 77.52   	 -45.78		
 37.42   	 -40.69		 77.33   	 -45.78		
 37.25   	 -35.61		 77.15   	 -50.86		
 37.11   	 -40.69		 76.95   	 -50.86		
 36.95   	 -40.69		 76.74   	 -55.95		
 36.79   	 -40.69		 76.52   	 -50.86		
 36.62   	 -40.69		 76.32   	 -45.78		
 36.46   	 -40.69		 76.13   	 -50.86		
 36.30   	 -45.78		 75.93   	 -45.78		
 36.11   	 -45.78		 75.75   	 -50.86		
 35.93   	 -45.78		 75.54   	 -50.86		
 35.75   	 -45.78		 75.34   	 -50.86		
 35.56   	 -40.69		 75.14   	 -45.78		
 35.40   	 -40.69		 74.95   	 -40.69		
 35.24   	 -40.69		 74.79   	 -50.86		
 35.08   	 -35.61		 74.59   	 -50.86		
 34.93   	 -30.52		 74.38   	 -45.78		
 34.81   	 -30.52		 74.20   	 -45.78		
 34.69   	 -25.43		 74.02   	 -45.78		
 34.59   	 -30.52		 73.83   	 -45.78		
 34.47   	 -25.43		 73.65   	 -45.78		
 34.36   	 -25.43		 73.47   	 -50.86		
 34.26   	 -25.43		 73.27   	 -50.86		
 34.16   	 -25.43		 73.06   	 -50.86		
 34.06   	 -25.43		 72.86   	 -45.78		
 33.96   	 -20.35		 72.68   	 -40.69		
 33.88   	 -10.17		 72.51   	 -50.86		
 33.84   	 -10.17		 72.31   	 -50.86		
 33.79   	 -20.35		 72.11   	 -40.69		
 33.71   	 -10.17		 71.94   	 -45.78		
 33.67   	 -20.35		 71.76   	 -45.78		
 33.59   	 -20.35		 71.58   	 -40.69		
 33.51   	 -20.35		 71.41   	 -40.69		
 33.43   	 -30.52		 71.25   	 -40.69		
 33.31   	 -30.52		 71.09   	 -40.69		
 33.18   	 -40.69		 70.93   	 -50.86		
 33.02   	 -35.61		 70.72   	 -45.78		
 32.88   	 -40.69		 70.54   	 -50.86		
 32.72   	 -45.78		 70.34   	 -45.78		
 32.53   	 -35.61		 70.15   	 -45.78		
 32.39   	 -35.61		 69.97   	 -45.78		
 32.25   	 -30.52		 69.79   	 -35.61		
 32.13   	 -25.43		 69.64   	 -35.61		
 32.02   	 -20.35		 69.50   	 -35.61		
 31.94   	  -5.09		 69.36   	 -30.52		
 31.92   	  45.78		 69.24   	 -35.61		
 32.11   	 147.51		 69.09   	 -35.61		
 32.70   	 254.32		 68.95   	 -45.78		
 33.71   	 300.10		 68.77   	 -40.69		
 34.91   	 259.41		 68.61   	 -50.86		
 35.95   	 167.85		 68.40   	 -45.78		
 36.62   	  55.95		 68.22   	 -50.86		
 36.85   	-152.59		 68.02   	 -40.69		
 36.24   	-381.48		 67.85   	 -40.69		
 34.71   	-457.78		 67.69   	 -45.78		
 32.88   	-462.87		 67.51   	 -40.69		
 31.03   	-437.43		 67.34   	 -40.69		
 29.28   	-330.62		 67.18   	 -50.86		
 27.96   	-203.46		 66.98   	 -45.78		
 27.14   	-101.73		 66.80   	 -50.86		
 26.73   	 -20.35		 66.59   	 -50.86		
 26.65(D)	  50.86		 66.39   	 -45.78		
 26.86   	 137.33		 66.21   	 -50.86		
 27.41   	 203.46		 66.00   	 -40.69		
 28.22   	 254.32		 65.84   	 -45.78		
 29.24   	 284.84		 65.66   	 -35.61		
 30.38   	 300.10		 65.51   	 -40.69		
 31.58   	 289.93		 65.35   	 -35.61		
 32.74   	 289.93		 65.21   	 -35.61		
 33.90   	 274.67		 65.07   	 -35.61		
 34.99   	 259.41		 64.92   	 -35.61		
 36.03   	 239.06		 64.78   	 -30.52		
 36.99   	 218.72		 64.66   	 -25.43		
 37.86   	 193.29		 64.56   	  -5.09		
 38.64   	 178.03		 64.54(D)	  25.43		
 39.35   	 152.59		 64.64   	  71.21		
 39.96   	 132.25		 64.92   	 137.33		
 40.49   	 111.90		 65.47   	 213.63		
 40.94   	  91.56		 66.33   	 284.84		
 41.30   	  81.38		 67.47   	 340.79		
 41.63   	  71.21		 68.83   	 386.57		
 41.91   	  61.04		 70.38   	 406.92		
 42.16   	  66.12		 72.00   	 412.00		
 42.42   	  61.04		 73.65   	 401.83		
 42.67   	  66.12		 75.26   	 391.66		
 42.93   	  71.21		 76.83   	 376.40		
 43.21   	  86.47		 78.33   	 381.48		
 43.56   	  86.47		 79.86   	 381.48		
 43.91   	  91.56		 81.38   	 396.74		
 44.27   	 101.73		 82.97   	 412.00		
 44.68   	 111.90		 84.62   	 427.26		
 45.13   	 122.07		 86.33   	 432.35		
 45.62   	 116.99		 88.06   	 432.35		
 46.08   	 122.07		 89.79   	 432.35		
 46.57   	 116.99		 91.52   	 427.26		
 47.04   	 122.07		 93.22   	 412.00		
 47.53   	 111.90		 94.87   	 391.66		
 47.98   	 106.82		 96.44   	 371.31		
 48.40   	  86.47		 97.92   	 350.97		
 48.75   	  81.38		 99.33   	 315.36		
 49.07   	  81.38		100.59   	 284.84		
 49.40   	  76.30		101.73   	 259.41		
 49.70   	  66.12		102.77   	 223.80		
 49.97   	  55.95		103.66   	 193.29		
 50.19   	  55.95		104.43   	 167.85		
 50.42   	  55.95		105.11   	 142.42		
 50.64   	  50.86		105.68   	 111.90		
 50.84   	  50.86		106.12   	  96.64		
 51.05   	  45.78		106.51   	  76.30		
 51.23   	  40.69		106.82   	  55.95		
 51.39   	  35.61		107.04   	  45.78		
 51.54   	  30.52		107.22   	  25.43		
 51.66   	  20.35		107.32   	  10.17		
 51.74   	  15.26		107.36(S)	   0.00		
 51.80   	  15.26		107.36   	 -15.26		
 51.86   	  10.17		107.30   	 -25.43		
 51.90   	  15.26		107.20   	 -35.61		
 51.96   	   5.09		107.06   	 -50.86		
 51.98   	   5.09		106.86   	 -61.04		
 52.00(S)	  -5.09		106.61   	 -66.12		
 51.98   	   0.00		106.35   	 -71.21		
 51.98   	  -5.09		106.06   	 -81.38		
 51.96   	  -5.09		105.74   	 -81.38		
 51.94   	 -10.17		105.41   	 -86.47		
 51.90   	  -5.09		105.07   	 -91.56		
 51.88   	  -5.09		104.70   	 -96.64		
 51.86   	 -10.17		104.31   	-101.73		
 51.82   	 -10.17		103.91   	-101.73		
 51.78   	 -20.35		103.50   	-106.82		
 51.70   	 -30.52		103.07   	-101.73		
 51.58   	 -50.86		102.66   	-101.73		
 51.37   	 -66.12		102.26   	-101.73		
 51.11   	 -86.47		101.85   	-101.73		
 50.76   	-137.33		101.44   	-101.73		
 50.21   	-172.94		101.04   	-101.73		
 49.52   	-142.42		100.63   	-106.82		
 48.95   	-111.90		100.20   	-116.99		
 48.50   	-122.07		 99.74   	-122.07		
 48.02   	-116.99		 99.25   	-132.25		
 47.55   	 -81.38		 98.72   	-152.59		
 47.22   	 -50.86		 98.11   	-162.77		
 47.02   	 -35.61		 97.46   	-172.94		
 46.88   	 -25.43		 96.76   	-188.20		
 46.77   	 -10.17		 96.01   	-203.46		
 46.73   	 -10.17		 95.20   	-203.46		
 46.69   	  -5.09		 94.38   	-213.63		
 46.67   	 -10.17		 93.53   	-208.54		
 46.63   	 -20.35		 92.70   	-198.37		
 46.55   	 -25.43		 91.90   	-183.11		
 46.45   	 -40.69		 91.17   	-167.85		
 46.29   	 -61.04		 90.50   	-137.33		
 46.04   	 -71.21		 89.95   	-116.99		
 45.76   	 -81.38		 89.48   	 -96.64		
 45.43   	 -86.47		 89.09   	 -91.56		
 45.09   	 -91.56		 88.73   	 -86.47		
 44.72   	-101.73		 88.38   	 -91.56		
 44.31   	-106.82		 88.02   	 -91.56		
 43.89   	-116.99		 87.65   	-106.82		
 43.42   	-111.90		 87.22   	-101.73		
 42.97   	-106.82		 86.82   	-106.82		
 42.54   	 -86.47		 86.39   	-106.82		
 42.20   	 -61.04		 85.96   	 -96.64		
 41.95   	 -25.43		 85.57   	 -91.56		
 41.85   	   0.00		 85.21   	 -86.47		
 41.85   	  25.43		 84.86   	 -81.38		
 41.95   	  25.43		 84.54   	 -71.21		
 42.05   	  35.61		 84.25   	 -66.12		
 42.20   	  40.69		 83.99   	 -55.95		
 42.36   	  45.78		 83.76   	 -50.86		
 42.54   	  55.95		 83.56   	 -50.86		
 42.77   	  66.12		 83.36   	 -45.78		
 43.03   	  55.95		 83.17   	 -35.61		
 43.26   	  30.52		 83.03   	 -35.61		
 43.38   	  10.17		 82.89   	 -35.61		
 43.42   	   5.09		 82.75   	 -30.52		
 43.44   	  -5.09		 82.62   	 -30.52		
 43.42   	 -20.35		 82.50   	 -25.43		
 43.34   	 -35.61		 82.40   	 -20.35		
