WITTCASE NUMBER: HB003014
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
 29.70   	 254.32		 42.75   	 -15.26		
 30.72   	 239.06		 42.69   	 -15.26		
 31.68   	 228.89		 42.62   	 -20.35		
 32.59   	 213.63		 42.54   	 -15.26		
 33.45   	 203.46		 42.48   	 -20.35		
 34.26   	 188.20		 42.40   	 -15.26		
 35.02   	 183.11		 42.34   	 -15.26		
 35.75   	 167.85		 42.28   	 -20.35		
 36.42   	 162.77		 42.20   	 -15.26		
 37.07   	 152.59		 42.14   	 -15.26		
 37.68   	 142.42		 42.08   	 -15.26		
 38.25   	 132.25		 42.01   	 -15.26		
 38.78   	 142.42		 41.95   	 -10.17		
 39.35   	 137.33		 41.91(D)	   0.00		
 39.90   	 127.16		 41.91   	  15.26		
 40.41   	 127.16		 41.97   	  25.43		
 40.92   	 116.99		 42.08   	  45.78		
 41.38   	 116.99		 42.26   	  66.12		
 41.85   	 116.99		 42.52   	  91.56		
 42.32   	 111.90		 42.89   	 116.99		
 42.77   	 106.82		 43.36   	 142.42		
 43.19   	 106.82		 43.93   	 167.85		
 43.62   	 106.82		 44.60   	 193.29		
 44.05   	 101.73		 45.37   	 218.72		
 44.46   	 101.73		 46.25   	 233.98		
 44.86   	  96.64		 47.18   	 254.32		
 45.25   	  96.64		 48.20   	 269.58		
 45.64   	  91.56		 49.28   	 274.67		
 46.00   	  91.56		 50.38   	 279.75		
 46.37   	  91.56		 51.50   	 274.67		
 46.73   	  86.47		 52.59   	 274.67		
 47.08   	  86.47		 53.69   	 264.50		
 47.43   	  81.38		 54.75   	 259.41		
 47.75   	  81.38		 55.79   	 249.24		
 48.08   	  71.21		 56.79   	 244.15		
 48.36   	  71.21		 57.76   	 233.98		
 48.65   	  66.12		 58.70   	 233.98		
 48.91   	  55.95		 59.63   	 228.89		
 49.14   	  55.95		 60.55   	 228.89		
 49.36   	  45.78		 61.46   	 233.98		
 49.54   	  40.69		 62.40   	 233.98		
 49.70   	  35.61		 63.34   	 233.98		
 49.85   	  30.52		 64.27   	 233.98		
 49.97   	  25.43		 65.21   	 233.98		
 50.07   	  20.35		 66.14   	 228.89		
 50.15   	  15.26		 67.06   	 228.89		
 50.21   	  10.17		 67.98   	 228.89		
 50.25   	   5.09		 68.89   	 223.80		
 50.27(S)	   0.00		 69.79   	 218.72		
 50.27   	   0.00		 70.66   	 213.63		
 50.27   	 -10.17		 71.52   	 203.46		
 50.23   	 -10.17		 72.33   	 188.20		
 50.19   	 -20.35		 73.08   	 178.03		
 50.11   	 -20.35		 73.79   	 167.85		
 50.03   	 -30.52		 74.47   	 147.51		
 49.91   	 -30.52		 75.06   	 137.33		
 49.79   	 -40.69		 75.60   	 122.07		
 49.62   	 -45.78		 76.09   	 106.82		
 49.44   	 -50.86		 76.52   	  96.64		
 49.24   	 -55.95		 76.91   	  86.47		
 49.01   	 -66.12		 77.25   	  81.38		
 48.75   	 -76.30		 77.58   	  66.12		
 48.44   	 -86.47		 77.84   	  55.95		
 48.10   	-101.73		 78.07   	  55.95		
 47.69   	-111.90		 78.29   	  40.69		
 47.24   	-132.25		 78.45   	  30.52		
 46.71   	-147.51		 78.58   	  20.35		
 46.12   	-172.94		 78.66   	  10.17		
 45.43   	-198.37		 78.70(S)	 -10.17		
 44.64   	-223.80		 78.66   	 -20.35		
 43.74   	-254.32		 78.58   	 -35.61		
 42.73   	-284.84		 78.43   	 -45.78		
 41.59   	-315.36		 78.25   	 -55.95		
 40.33   	-350.97		 78.03   	 -66.12		
 38.92   	-376.40		 77.76   	 -76.30		
 37.42   	-412.00		 77.46   	 -76.30		
 35.77   	-437.43		 77.15   	 -76.30		
 34.02   	-457.78		 76.85   	 -86.47		
 32.19   	-478.13		 76.50   	 -81.38		
 30.27   	-488.30		 76.17   	 -91.56		
 28.32   	-488.30		 75.81   	 -91.56		
 26.37   	-493.39		 75.44   	-101.73		
 24.39   	-483.21		 75.04   	-101.73		
 22.46   	-462.87		 74.63   	-106.82		
 20.61   	-447.61		 74.20   	-116.99		
 18.82   	-427.26		 73.73   	-116.99		
 17.11   	-391.66		 73.27   	-127.16		
 15.54   	-366.22		 72.76   	-127.16		
 14.08   	-330.62		 72.25   	-132.25		
 12.76   	-300.10		 71.72   	-137.33		
 11.56   	-264.50		 71.17   	-137.33		
 10.50   	-239.06		 70.62   	-137.33		
  9.54   	-203.46		 70.07   	-142.42		
  8.73   	-183.11		 69.50   	-137.33		
  8.00   	-152.59		 68.95   	-137.33		
  7.39   	-137.33		 68.40   	-132.25		
  6.84   	-111.90		 67.87   	-127.16		
  6.39   	-101.73		 67.36   	-122.07		
  5.98   	 -91.56		 66.88   	-116.99		
  5.62   	 -81.38		 66.41   	-111.90		
  5.29   	 -81.38		 65.96   	-111.90		
  4.96   	 -81.38		 65.51   	-106.82		
  4.64   	 -91.56		 65.09   	-111.90		
  4.27   	-101.73		 64.64   	-106.82		
  3.87   	-116.99		 64.21   	-111.90		
  3.40   	-122.07		 63.76   	-111.90		
  2.91   	-127.16		 63.32   	-116.99		
  2.40   	-116.99		 62.85   	-111.90		
  1.93   	-106.82		 62.40   	-111.90		
  1.51   	 -81.38		 61.95   	-111.90		
  1.18   	 -50.86		 61.51   	-106.82		
  0.98   	 -25.43		 61.08   	-101.73		
  0.87(D)	   5.09		 60.67   	-101.73		
  0.90   	  35.61		 60.26   	 -96.64		
  1.04   	  55.95		 59.88   	 -96.64		
